pokedex_number,name,type1,generation,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,base_total,is_legendary
32,Nidoran♂,poison,1,46,57,40,40,40,50,0.5,9.0,273,0
33,Nidorino,poison,1,61,72,57,55,55,65,0.9,19.5,365,0
34,Nidoking,poison,1,81,102,77,85,75,85,1.4,62.0,505,0
35,Clefairy,fairy,1,70,45,48,60,65,35,0.6,7.5,323,0
36,Clefable,fairy,1,95,70,73,95,90,60,1.3,40.0,483,0
37,Vulpix,fire,1,38,41,40,50,65,65,,,299,0
38,Ninetales,fire,1,73,67,75,81,100,109,,,505,0
39,Jigglypuff,normal,1,115,45,20,45,25,20,0.5,5.5,270,0
40,Wigglytuff,normal,1,140,70,45,85,50,45,1.0,12.0,435,0
41,Zubat,poison,1,40,45,35,30,40,55,0.8,7.5,245,0
42,Golbat,poison,1,75,80,70,65,75,90,1.6,55.0,455,0
43,Oddish,grass,1,45,50,55,75,65,30,0.5,5.4,320,0
44,Gloom,grass,1,60,65,70,85,75,40,0.8,8.6,395,0
45,Vileplume,grass,1,75,80,85,110,90,50,1.2,18.6,490,0
46,Paras,bug,1,35,70,55,45,55,25,0.3,5.4,285,0
47,Parasect,bug,1,60,95,80,60,80,30,1.0,29.5,405,0
48,Venonat,bug,1,60,55,50,40,55,45,1.0,30.0,305,0
49,Venomoth,bug,1,70,65,60,90,75,90,1.5,12.5,450,0
50,Diglett,ground,1,10,55,30,35,45,90,,,265,0
51,Dugtrio,ground,1,35,100,60,50,70,110,,,425,0
52,Meowth,normal,1,40,35,35,50,40,90,,,290,0
53,Persian,normal,1,65,60,60,75,65,115,,,440,0
54,Psyduck,water,1,50,52,48,65,50,55,0.8,19.6,320,0
55,Golduck,water,1,80,82,78,95,80,85,1.7,76.6,500,0
56,Mankey,fighting,1,40,80,35,35,45,70,0.5,28.0,305,0
57,Primeape,fighting,1,65,105,60,60,70,95,1.0,32.0,455,0
58,Growlithe,fire,1,55,70,45,70,50,60,0.7,19.0,350,0
59,Arcanine,fire,1,90,110,80,100,80,95,1.9,155.0,555,0
60,Poliwag,water,1,40,50,40,40,40,90,0.6,12.4,300,0
61,Poliwhirl,water,1,65,65,65,50,50,90,1.0,20.0,385,0
62,Poliwrath,water,1,90,95,95,70,90,70,1.3,54.0,510,0
63,Abra,psychic,1,25,20,15,105,55,90,0.9,19.5,310,0
64,Kadabra,psychic,1,40,35,30,120,70,105,1.3,56.5,400,0
65,Alakazam,psychic,1,55,50,65,175,105,150,1.5,48.0,600,0
66,Machop,fighting,1,70,80,50,35,35,35,0.8,19.5,305,0
67,Machoke,fighting,1,80,100,70,50,60,45,1.5,70.5,405,0
68,Machamp,fighting,1,90,130,80,65,85,55,1.6,130.0,505,0
69,Bellsprout,grass,1,50,75,35,70,30,40,0.7,4.0,300,0
70,Weepinbell,grass,1,65,90,50,85,45,55,1.0,6.4,390,0
71,Victreebel,grass,1,80,105,65,100,70,70,1.7,15.5,490,0
72,Tentacool,water,1,40,40,35,50,100,70,0.9,45.5,335,0
73,Tentacruel,water,1,80,70,65,80,120,100,1.6,55.0,515,0
74,Geodude,rock,1,40,80,100,30,30,20,,,300,0
75,Graveler,rock,1,55,95,115,45,45,35,,,390,0
76,Golem,rock,1,80,120,130,55,65,45,,,495,0
77,Ponyta,fire,1,50,85,55,65,65,90,1.0,30.0,410,0
78,Rapidash,fire,1,65,100,70,80,80,105,1.7,95.0,500,0
79,Slowpoke,water,1,90,65,65,40,40,15,1.2,36.0,315,0
80,Slowbro,water,1,95,75,180,130,80,30,1.6,78.5,590,0
81,Magnemite,electric,1,25,35,70,95,55,45,0.3,6.0,325,0
82,Magneton,electric,1,50,60,95,120,70,70,1.0,60.0,465,0
83,Farfetch'd,normal,1,52,90,55,58,62,60,0.8,15.0,377,0
84,Doduo,normal,1,35,85,45,35,35,75,1.4,39.2,310,0
85,Dodrio,normal,1,60,110,70,60,60,110,1.8,85.2,470,0
86,Seel,water,1,65,45,55,45,70,45,1.1,90.0,325,0
87,Dewgong,water,1,90,70,80,70,95,70,1.7,120.0,475,0
88,Grimer,poison,1,80,80,50,40,50,25,,,325,0
89,Muk,poison,1,105,105,75,65,100,50,,,500,0
90,Shellder,water,1,30,65,100,45,25,40,0.3,4.0,305,0
91,Cloyster,water,1,50,95,180,85,45,70,1.5,132.5,525,0
92,Gastly,ghost,1,30,35,30,100,35,80,1.3,0.1,310,0
93,Haunter,ghost,1,45,50,45,115,55,95,1.6,0.1,405,0
94,Gengar,ghost,1,60,65,80,170,95,130,1.5,40.5,600,0
95,Onix,rock,1,35,45,160,30,45,70,8.8,210.0,385,0
96,Drowzee,psychic,1,60,48,45,43,90,42,1.0,32.4,328,0
97,Hypno,psychic,1,85,73,70,73,115,67,1.6,75.6,483,0
98,Krabby,water,1,30,105,90,25,25,50,0.4,6.5,325,0
99,Kingler,water,1,55,130,115,50,50,75,1.3,60.0,475,0
100,Voltorb,electric,1,40,30,50,55,55,100,0.5,10.4,330,0
101,Electrode,electric,1,60,50,70,80,80,150,1.2,66.6,490,0
102,Exeggcute,grass,1,60,40,80,60,45,40,0.4,2.5,325,0
103,Exeggutor,grass,1,95,105,85,125,75,45,,,530,0
104,Cubone,ground,1,50,50,95,40,50,35,0.4,6.5,320,0
105,Marowak,ground,1,60,80,110,50,80,45,,,425,0
106,Hitmonlee,fighting,1,50,120,53,35,110,87,1.5,49.8,455,0
107,Hitmonchan,fighting,1,50,105,79,35,110,76,1.4,50.2,455,0
108,Lickitung,normal,1,90,55,75,60,75,30,1.2,65.5,385,0
109,Koffing,poison,1,40,65,95,60,45,35,0.6,1.0,340,0
110,Weezing,poison,1,65,90,120,85,70,60,1.2,9.5,490,0
111,Rhyhorn,ground,1,80,85,95,30,30,25,1.0,115.0,345,0
112,Rhydon,ground,1,105,130,120,45,45,40,1.9,120.0,485,0
113,Chansey,normal,1,250,5,5,35,105,50,1.1,34.6,450,0
114,Tangela,grass,1,65,55,115,100,40,60,1.0,35.0,435,0
115,Kangaskhan,normal,1,105,125,100,60,100,100,2.2,80.0,590,0
116,Horsea,water,1,30,40,70,70,25,60,0.4,8.0,295,0
117,Seadra,water,1,55,65,95,95,45,85,1.2,25.0,440,0
118,Goldeen,water,1,45,67,60,35,50,63,0.6,15.0,320,0
119,Seaking,water,1,80,92,65,65,80,68,1.3,39.0,450,0
120,Staryu,water,1,30,45,55,70,55,85,0.8,34.5,340,0
121,Starmie,water,1,60,75,85,100,85,115,1.1,80.0,520,0
122,Mr. Mime,psychic,1,40,45,65,100,120,90,1.3,54.5,460,0
123,Scyther,bug,1,70,110,80,55,80,105,1.5,56.0,500,0
124,Jynx,ice,1,65,50,35,115,95,95,1.4,40.6,455,0
125,Electabuzz,electric,1,65,83,57,95,85,105,1.1,30.0,490,0
126,Magmar,fire,1,65,95,57,100,85,93,1.3,44.5,495,0
127,Pinsir,bug,1,65,155,120,65,90,105,1.5,55.0,600,0
128,Tauros,normal,1,75,100,95,40,70,110,1.4,88.4,490,0
129,Magikarp,water,1,20,10,55,15,20,80,0.9,10.0,200,0
130,Gyarados,water,1,95,155,109,70,130,81,6.5,235.0,640,0
131,Lapras,water,1,130,85,80,85,95,60,2.5,220.0,535,0
132,Ditto,normal,1,48,48,48,48,48,48,0.3,4.0,288,0
133,Eevee,normal,1,55,55,50,45,65,55,0.3,6.5,325,0
134,Vaporeon,water,1,130,65,60,110,95,65,1.0,29.0,525,0
135,Jolteon,electric,1,65,65,60,110,95,130,0.8,24.5,525,0
136,Flareon,fire,1,65,130,60,95,110,65,0.9,25.0,525,0
137,Porygon,normal,1,65,60,70,85,75,40,0.8,36.5,395,0
138,Omanyte,rock,1,35,40,100,90,55,35,0.4,7.5,355,0
139,Omastar,rock,1,70,60,125,115,70,55,1.0,35.0,495,0
140,Kabuto,rock,1,30,80,90,55,45,55,0.5,11.5,355,0
141,Kabutops,rock,1,60,115,105,65,70,80,1.3,40.5,495,0
142,Aerodactyl,rock,1,80,135,85,70,95,150,1.8,59.0,615,0
143,Snorlax,normal,1,160,110,65,65,110,30,2.1,460.0,540,0
144,Articuno,ice,1,90,85,100,95,125,85,1.7,55.4,580,1
145,Zapdos,electric,1,90,90,85,125,90,100,1.6,52.6,580,1
146,Moltres,fire,1,90,100,90,125,85,90,2.0,60.0,580,1
147,Dratini,dragon,1,41,64,45,50,50,50,1.8,3.3,300,0
148,Dragonair,dragon,1,61,84,65,70,70,70,4.0,16.5,420,0
149,Dragonite,dragon,1,91,134,95,100,100,80,2.2,210.0,600,0
150,Mewtwo,psychic,1,106,150,70,194,120,140,2.0,122.0,780,1
151,Mew,psychic,1,100,100,100,100,100,100,0.4,4.0,600,1
152,Chikorita,grass,2,45,49,65,49,65,45,0.9,6.4,318,0
153,Bayleef,grass,2,60,62,80,63,80,60,1.2,15.8,405,0
154,Meganium,grass,2,80,82,100,83,100,80,1.8,100.5,525,0
155,Cyndaquil,fire,2,39,52,43,60,50,65,0.5,7.9,309,0
156,Quilava,fire,2,58,64,58,80,65,80,0.9,19.0,405,0
157,Typhlosion,fire,2,78,84,78,109,85,100,1.7,79.5,534,0
158,Totodile,water,2,50,65,64,44,48,43,0.6,9.5,314,0
159,Croconaw,water,2,65,80,80,59,63,58,1.1,25.0,405,0
160,Feraligatr,water,2,85,105,100,79,83,78,2.3,88.8,530,0
161,Sentret,normal,2,35,46,34,35,45,20,0.8,6.0,215,0
162,Furret,normal,2,85,76,64,45,55,90,1.8,32.5,415,0
163,Hoothoot,normal,2,60,30,30,36,56,50,0.7,21.2,262,0
164,Noctowl,normal,2,100,50,50,86,96,70,1.6,40.8,452,0
165,Ledyba,bug,2,40,20,30,40,80,55,1.0,10.8,265,0
166,Ledian,bug,2,55,35,50,55,110,85,1.4,35.6,390,0
167,Spinarak,bug,2,40,60,40,40,40,30,0.5,8.5,250,0
168,Ariados,bug,2,70,90,70,60,70,40,1.1,33.5,400,0
169,Crobat,poison,2,85,90,80,70,80,130,1.8,75.0,535,0
170,Chinchou,water,2,75,38,38,56,56,67,0.5,12.0,330,0
171,Lanturn,water,2,125,58,58,76,76,67,1.2,22.5,460,0
172,Pichu,electric,2,20,40,15,35,35,60,0.3,2.0,205,0
173,Cleffa,fairy,2,50,25,28,45,55,15,0.3,3.0,218,0
174,Igglybuff,normal,2,90,30,15,40,20,15,0.3,1.0,210,0
175,Togepi,fairy,2,35,20,65,40,65,20,0.3,1.5,245,0
176,Togetic,fairy,2,55,40,85,80,105,40,0.6,3.2,405,0
177,Natu,psychic,2,40,50,45,70,45,70,0.2,2.0,320,0
178,Xatu,psychic,2,65,75,70,95,70,95,1.5,15.0,470,0
179,Mareep,electric,2,55,40,40,65,45,35,0.6,7.8,280,0
180,Flaaffy,electric,2,70,55,55,80,60,45,0.8,13.3,365,0
181,Ampharos,electric,2,90,95,105,165,110,45,1.4,61.5,610,0
182,Bellossom,grass,2,75,80,95,90,100,50,0.4,5.8,490,0
183,Marill,water,2,70,20,50,20,50,40,0.4,8.5,250,0
184,Azumarill,water,2,100,50,80,60,80,50,0.8,28.5,420,0
185,Sudowoodo,rock,2,70,100,115,30,65,30,1.2,38.0,410,0
186,Politoed,water,2,90,75,75,90,100,70,1.1,33.9,500,0
187,Hoppip,grass,2,35,35,40,35,55,50,0.4,0.5,250,0
188,Skiploom,grass,2,55,45,50,45,65,80,0.6,1.0,340,0
189,Jumpluff,grass,2,75,55,70,55,95,110,0.8,3.0,460,0
190,Aipom,normal,2,55,70,55,40,55,85,0.8,11.5,360,0
191,Sunkern,grass,2,30,30,30,30,30,30,0.3,1.8,180,0
192,Sunflora,grass,2,75,75,55,105,85,30,0.8,8.5,425,0
193,Yanma,bug,2,65,65,45,75,45,95,1.2,38.0,390,0
194,Wooper,water,2,55,45,45,25,25,15,0.4,8.5,210,0
195,Quagsire,water,2,95,85,85,65,65,35,1.4,75.0,430,0
196,Espeon,psychic,2,65,65,60,130,95,110,0.9,26.5,525,0
197,Umbreon,dark,2,95,65,110,60,130,65,1.0,27.0,525,0
198,Murkrow,dark,2,60,85,42,85,42,91,0.5,2.1,405,0
199,Slowking,water,2,95,75,80,100,110,30,2.0,79.5,490,0
200,Misdreavus,ghost,2,60,60,60,85,85,85,0.7,1.0,435,0
201,Unown,psychic,2,48,72,48,72,48,48,0.5,5.0,336,0
202,Wobbuffet,psychic,2,190,33,58,33,58,33,1.3,28.5,405,0
203,Girafarig,normal,2,70,80,65,90,65,85,1.5,41.5,455,0
204,Pineco,bug,2,50,65,90,35,35,15,0.6,7.2,290,0
205,Forretress,bug,2,75,90,140,60,60,40,1.2,125.8,465,0
206,Dunsparce,normal,2,100,70,70,65,65,45,1.5,14.0,415,0
207,Gligar,ground,2,65,75,105,35,65,85,1.1,64.8,430,0
208,Steelix,steel,2,75,125,230,55,95,30,9.2,400.0,610,0
209,Snubbull,fairy,2,60,80,50,40,40,30,0.6,7.8,300,0
210,Granbull,fairy,2,90,120,75,60,60,45,1.4,48.7,450,0
211,Qwilfish,water,2,65,95,85,55,55,85,0.5,3.9,440,0
212,Scizor,bug,2,70,150,140,65,100,75,1.8,118.0,600,0
213,Shuckle,bug,2,20,10,230,10,230,5,0.6,20.5,505,0
214,Heracross,bug,2,80,185,115,40,105,75,1.5,54.0,600,0
215,Sneasel,dark,2,55,95,55,35,75,115,0.9,28.0,430,0
216,Teddiursa,normal,2,60,80,50,50,50,40,0.6,8.8,330,0
217,Ursaring,normal,2,90,130,75,75,75,55,1.8,125.8,500,0
218,Slugma,fire,2,40,40,40,70,40,20,0.7,35.0,250,0
219,Magcargo,fire,2,60,50,120,90,80,30,0.8,55.0,430,0
220,Swinub,ice,2,50,50,40,30,30,50,0.4,6.5,250,0
221,Piloswine,ice,2,100,100,80,60,60,50,1.1,55.8,450,0
222,Corsola,water,2,65,55,95,65,95,35,0.6,5.0,410,0
223,Remoraid,water,2,35,65,35,65,35,65,0.6,12.0,300,0
224,Octillery,water,2,75,105,75,105,75,45,0.9,28.5,480,0
225,Delibird,ice,2,45,55,45,65,45,75,0.9,16.0,330,0
226,Mantine,water,2,85,40,70,80,140,70,2.1,220.0,485,0
227,Skarmory,steel,2,65,80,140,40,70,70,1.7,50.5,465,0
228,Houndour,dark,2,45,60,30,80,50,65,0.6,10.8,330,0
229,Houndoom,dark,2,75,90,90,140,90,115,1.4,35.0,600,0
230,Kingdra,water,2,75,95,95,95,95,85,1.8,152.0,540,0
231,Phanpy,ground,2,90,60,60,40,40,40,0.5,33.5,330,0
232,Donphan,ground,2,90,120,120,60,60,50,1.1,120.0,500,0
233,Porygon2,normal,2,85,80,90,105,95,60,0.6,32.5,515,0
234,Stantler,normal,2,73,95,62,85,65,85,1.4,71.2,465,0
235,Smeargle,normal,2,55,20,35,20,45,75,1.2,58.0,250,0
236,Tyrogue,fighting,2,35,35,35,35,35,35,0.7,21.0,210,0
237,Hitmontop,fighting,2,50,95,95,35,110,70,1.4,48.0,455,0
238,Smoochum,ice,2,45,30,15,85,65,65,0.4,6.0,305,0
239,Elekid,electric,2,45,63,37,65,55,95,0.6,23.5,360,0
240,Magby,fire,2,45,75,37,70,55,83,0.7,21.4,365,0
241,Miltank,normal,2,95,80,105,40,70,100,1.2,75.5,490,0
242,Blissey,normal,2,255,10,10,75,135,55,1.5,46.8,540,0
243,Raikou,electric,2,90,85,75,115,100,115,1.9,178.0,580,1
244,Entei,fire,2,115,115,85,90,75,100,2.1,198.0,580,1
245,Suicune,water,2,100,75,115,90,115,85,2.0,187.0,580,1
246,Larvitar,rock,2,50,64,50,45,50,41,0.6,72.0,300,0
247,Pupitar,rock,2,70,84,70,65,70,51,1.2,152.0,410,0
248,Tyranitar,rock,2,100,164,150,95,120,71,2.0,202.0,700,0
249,Lugia,psychic,2,106,90,130,90,154,110,5.2,216.0,680,1
250,Ho-Oh,fire,2,106,130,90,110,154,90,3.8,199.0,680,1
251,Celebi,psychic,2,100,100,100,100,100,100,0.6,5.0,600,1
252,Treecko,grass,3,40,45,35,65,55,70,0.5,5.0,310,0
253,Grovyle,grass,3,50,65,45,85,65,95,0.9,21.6,405,0
254,Sceptile,grass,3,70,110,75,145,85,145,1.7,52.2,630,0
255,Torchic,fire,3,45,60,40,70,50,45,0.4,2.5,310,0
256,Combusken,fire,3,60,85,60,85,60,55,0.9,19.5,405,0
257,Blaziken,fire,3,80,160,80,130,80,100,1.9,52.0,630,0
258,Mudkip,water,3,50,70,50,50,50,40,0.4,7.6,310,0
259,Marshtomp,water,3,70,85,70,60,70,50,0.7,28.0,405,0
260,Swampert,water,3,100,150,110,95,110,70,1.5,81.9,635,0
261,Poochyena,dark,3,35,55,35,30,30,35,0.5,13.6,220,0
262,Mightyena,dark,3,70,90,70,60,60,70,1.0,37.0,420,0
263,Zigzagoon,normal,3,38,30,41,30,41,60,0.4,17.5,240,0
264,Linoone,normal,3,78,70,61,50,61,100,0.5,32.5,420,0
265,Wurmple,bug,3,45,45,35,20,30,20,0.3,3.6,195,0
266,Silcoon,bug,3,50,35,55,25,25,15,0.6,10.0,205,0
267,Beautifly,bug,3,60,70,50,100,50,65,1.0,28.4,395,0
268,Cascoon,bug,3,50,35,55,25,25,15,0.7,11.5,205,0
269,Dustox,bug,3,60,50,70,50,90,65,1.2,31.6,385,0
270,Lotad,water,3,40,30,30,40,50,30,0.5,2.6,220,0
271,Lombre,water,3,60,50,50,60,70,50,1.2,32.5,340,0
272,Ludicolo,water,3,80,70,70,90,100,70,1.5,55.0,480,0
273,Seedot,grass,3,40,40,50,30,30,30,0.5,4.0,220,0
274,Nuzleaf,grass,3,70,70,40,60,40,60,1.0,28.0,340,0
275,Shiftry,grass,3,90,100,60,90,60,80,1.3,59.6,480,0
276,Taillow,normal,3,40,55,30,30,30,85,0.3,2.3,270,0
277,Swellow,normal,3,60,85,60,75,50,125,0.7,19.8,455,0
278,Wingull,water,3,40,30,30,55,30,85,0.6,9.5,270,0
279,Pelipper,water,3,60,50,100,95,70,65,1.2,28.0,440,0
280,Ralts,psychic,3,28,25,25,45,35,40,0.4,6.6,198,0
281,Kirlia,psychic,3,38,35,35,65,55,50,0.8,20.2,278,0
282,Gardevoir,psychic,3,68,85,65,165,135,100,1.6,48.4,618,0
283,Surskit,bug,3,40,30,32,50,52,65,0.5,1.7,269,0
284,Masquerain,bug,3,70,60,62,100,82,80,0.8,3.6,454,0
285,Shroomish,grass,3,60,40,60,40,60,35,0.4,4.5,295,0
286,Breloom,grass,3,60,130,80,60,60,70,1.2,39.2,460,0
287,Slakoth,normal,3,60,60,60,35,35,30,0.8,24.0,280,0
288,Vigoroth,normal,3,80,80,80,55,55,90,1.4,46.5,440,0
289,Slaking,normal,3,150,160,100,95,65,100,2.0,130.5,670,0
290,Nincada,bug,3,31,45,90,30,30,40,0.5,5.5,266,0
291,Ninjask,bug,3,61,90,45,50,50,160,0.8,12.0,456,0
292,Shedinja,bug,3,1,90,45,30,30,40,0.8,1.2,236,0
293,Whismur,normal,3,64,51,23,51,23,28,0.6,16.3,240,0
294,Loudred,normal,3,84,71,43,71,43,48,1.0,40.5,360,0
295,Exploud,normal,3,104,91,63,91,73,68,1.5,84.0,490,0
296,Makuhita,fighting,3,72,60,30,20,30,25,1.0,86.4,237,0
297,Hariyama,fighting,3,144,120,60,40,60,50,2.3,253.8,474,0
298,Azurill,normal,3,50,20,40,20,40,20,0.2,2.0,190,0
299,Nosepass,rock,3,30,45,135,45,90,30,1.0,97.0,375,0
300,Skitty,normal,3,50,45,45,35,35,50,0.6,11.0,260,0
301,Delcatty,normal,3,70,65,65,55,55,90,1.1,32.6,400,0
302,Sableye,dark,3,50,85,125,85,115,20,0.5,11.0,480,0
303,Mawile,steel,3,50,105,125,55,95,50,0.6,11.5,480,0
304,Aron,steel,3,50,70,100,40,40,30,0.4,60.0,330,0
305,Lairon,steel,3,60,90,140,50,50,40,0.9,120.0,430,0
306,Aggron,steel,3,70,140,230,60,80,50,2.1,360.0,630,0
307,Meditite,fighting,3,30,40,55,40,55,60,0.6,11.2,280,0
308,Medicham,fighting,3,60,100,85,80,85,100,1.3,31.5,510,0
309,Electrike,electric,3,40,45,40,65,40,65,0.6,15.2,295,0
310,Manectric,electric,3,70,75,80,135,80,135,1.5,40.2,575,0
311,Plusle,electric,3,60,50,40,85,75,95,0.4,4.2,405,0
312,Minun,electric,3,60,40,50,75,85,95,0.4,4.2,405,0
313,Volbeat,bug,3,65,73,75,47,85,85,0.7,17.7,430,0
314,Illumise,bug,3,65,47,75,73,85,85,0.6,17.7,430,0
315,Roselia,grass,3,50,60,45,100,80,65,0.3,2.0,400,0
316,Gulpin,poison,3,70,43,53,43,53,40,0.4,10.3,302,0
317,Swalot,poison,3,100,73,83,73,83,55,1.7,80.0,467,0
318,Carvanha,water,3,45,90,20,65,20,65,0.8,20.8,305,0
319,Sharpedo,water,3,70,140,70,110,65,105,1.8,88.8,560,0
320,Wailmer,water,3,130,70,35,70,35,60,2.0,130.0,400,0
321,Wailord,water,3,170,90,45,90,45,60,14.5,398.0,500,0
322,Numel,fire,3,60,60,40,65,45,35,0.7,24.0,305,0
323,Camerupt,fire,3,70,120,100,145,105,20,1.9,220.0,560,0
324,Torkoal,fire,3,70,85,140,85,70,20,0.5,80.4,470,0
325,Spoink,psychic,3,60,25,35,70,80,60,0.7,30.6,330,0
326,Grumpig,psychic,3,80,45,65,90,110,80,0.9,71.5,470,0
327,Spinda,normal,3,60,60,60,60,60,60,1.1,5.0,360,0
328,Trapinch,ground,3,45,100,45,45,45,10,0.7,15.0,290,0
329,Vibrava,ground,3,50,70,50,50,50,70,1.1,15.3,340,0
330,Flygon,ground,3,80,100,80,80,80,100,2.0,82.0,520,0
331,Cacnea,grass,3,50,85,40,85,40,35,0.4,51.3,335,0
332,Cacturne,grass,3,70,115,60,115,60,55,1.3,77.4,475,0
333,Swablu,normal,3,45,40,60,40,75,50,0.4,1.2,310,0
334,Altaria,dragon,3,75,110,110,110,105,80,1.1,20.6,590,0
335,Zangoose,normal,3,73,115,60,60,60,90,1.3,40.3,458,0
336,Seviper,poison,3,73,100,60,100,60,65,2.7,52.5,458,0
337,Lunatone,rock,3,90,55,65,95,85,70,1.0,168.0,460,0
338,Solrock,rock,3,90,95,85,55,65,70,1.2,154.0,460,0
339,Barboach,water,3,50,48,43,46,41,60,0.4,1.9,288,0
340,Whiscash,water,3,110,78,73,76,71,60,0.9,23.6,468,0
341,Corphish,water,3,43,80,65,50,35,35,0.6,11.5,308,0
342,Crawdaunt,water,3,63,120,85,90,55,55,1.1,32.8,468,0
343,Baltoy,ground,3,40,40,55,40,70,55,0.5,21.5,300,0
344,Claydol,ground,3,60,70,105,70,120,75,1.5,108.0,500,0
345,Lileep,rock,3,66,41,77,61,87,23,1.0,23.8,355,0
346,Cradily,rock,3,86,81,97,81,107,43,1.5,60.4,495,0
347,Anorith,rock,3,45,95,50,40,50,75,0.7,12.5,355,0
348,Armaldo,rock,3,75,125,100,70,80,45,1.5,68.2,495,0
349,Feebas,water,3,20,15,20,10,55,80,0.6,7.4,200,0
350,Milotic,water,3,95,60,79,100,125,81,6.2,162.0,540,0
351,Castform,normal,3,70,70,70,70,70,70,0.3,0.8,420,0
352,Kecleon,normal,3,60,90,70,60,120,40,1.0,22.0,440,0
353,Shuppet,ghost,3,44,75,35,63,33,45,0.6,2.3,295,0
354,Banette,ghost,3,64,165,75,93,83,75,1.1,12.5,555,0
355,Duskull,ghost,3,20,40,90,30,90,25,0.8,15.0,295,0
356,Dusclops,ghost,3,40,70,130,60,130,25,1.6,30.6,455,0
357,Tropius,grass,3,99,68,83,72,87,51,2.0,100.0,460,0
358,Chimecho,psychic,3,75,50,80,95,90,65,0.6,1.0,455,0
359,Absol,dark,3,65,150,60,115,60,115,1.2,47.0,565,0
360,Wynaut,psychic,3,95,23,48,23,48,23,0.6,14.0,260,0
361,Snorunt,ice,3,50,50,50,50,50,50,0.7,16.8,300,0
362,Glalie,ice,3,80,120,80,120,80,100,1.5,256.5,580,0
363,Spheal,ice,3,70,40,50,55,50,25,0.8,39.5,290,0
364,Sealeo,ice,3,90,60,70,75,70,45,1.1,87.6,410,0
365,Walrein,ice,3,110,80,90,95,90,65,1.4,150.6,530,0
366,Clamperl,water,3,35,64,85,74,55,32,0.4,52.5,345,0
367,Huntail,water,3,55,104,105,94,75,52,1.7,27.0,485,0
368,Gorebyss,water,3,55,84,105,114,75,52,1.8,22.6,485,0
369,Relicanth,water,3,100,90,130,45,65,55,1.0,23.4,485,0
370,Luvdisc,water,3,43,30,55,40,65,97,0.6,8.7,330,0
371,Bagon,dragon,3,45,75,60,40,30,50,0.6,42.1,300,0
372,Shelgon,dragon,3,65,95,100,60,50,50,1.1,110.5,420,0
373,Salamence,dragon,3,95,145,130,120,90,120,1.5,102.6,700,0
374,Beldum,steel,3,40,55,80,35,60,30,0.6,95.2,300,0
375,Metang,steel,3,60,75,100,55,80,50,1.2,202.5,420,0
376,Metagross,steel,3,80,145,150,105,110,110,1.6,550.0,700,0
377,Regirock,rock,3,80,100,200,50,100,50,1.7,230.0,580,1
378,Regice,ice,3,80,50,100,100,200,50,1.8,175.0,580,1
379,Registeel,steel,3,80,75,150,75,150,50,1.9,205.0,580,1
380,Latias,dragon,3,80,100,120,140,150,110,1.4,40.0,700,1
381,Latios,dragon,3,80,130,100,160,120,110,2.0,60.0,700,1
382,Kyogre,water,3,100,150,90,180,160,90,4.5,352.0,770,1
